cas_id;generator;prompt_mode;judge;perfil_id;A1;A2;A3;B1;B2;B3;B4;C1;pA (=mitj A1-A3);pB (=mitj B1-B4);pGlobal (=Ax0.3+Bx0.5+C1x0.2)
ESO2_ARGU__P3;gpt;det;gpt4mini;P3;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;4.33;4.75;4.67
ESO2_ARGU__P4;gpt;det;gpt4mini;P4;4.0;5.0;4.0;5.0;5.0;4.0;4.0;4.0;4.33;4.5;4.35
ESO2_ARGU__P6;gpt;det;gpt4mini;P6;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
ESO2_ARGU__P7;gpt;det;gpt4mini;P7;4.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;4.0;4.75;4.58
PRI_EXPL__P1;gpt;det;gpt4mini;P1;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.67;5.0;4.9
PRI_EXPL__P3;gpt;det;gpt4mini;P3;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.67;4.75;4.78
PRI_EXPL__P4;gpt;det;gpt4mini;P4;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;4.33;4.75;4.67
PRI_EXPL__P6;gpt;det;gpt4mini;P6;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P7;gpt;det;gpt4mini;P7;5.0;5.0;5.0;5.0;5.0;3.0;5.0;5.0;5.0;4.5;4.75
BAT_INST__P1;mistral;det;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;5.0;4.0;4.0;4.33;4.5;4.35
BAT_INST__P3;mistral;det;gpt4mini;P3;4.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;4.0;4.5;4.25
BAT_INST__P4;mistral;det;gpt4mini;P4;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.25;4.12
BAT_INST__P6;mistral;det;gpt4mini;P6;3.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;3.33;3.5;3.55
BAT_INST__P7;mistral;det;gpt4mini;P7;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.25;4.12
ESO1_NARR__P1;mistral;det;gpt4mini;P1;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;4.33;4.75;4.67
ESO1_NARR__P3;mistral;det;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P4;mistral;det;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;4.0;5.0;4.0;4.33;4.5;4.35
ESO1_NARR__P6;mistral;det;gpt4mini;P6;4.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;4.67;4.75;4.78
ESO1_NARR__P7;mistral;det;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO2_ARGU__P1;mistral;det;gpt4mini;P1;4.0;5.0;4.0;4.0;5.0;5.0;4.0;4.0;4.33;4.5;4.35
ESO2_ARGU__P3;mistral;det;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;5.0;4.0;4.0;4.33;4.5;4.35
ESO2_ARGU__P4;mistral;det;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;5.0;4.0;4.0;4.33;4.5;4.35
ESO2_ARGU__P6;mistral;det;gpt4mini;P6;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;4.33;4.75;4.67
ESO2_ARGU__P7;mistral;det;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P1;mistral;det;gpt4mini;P1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P3;mistral;det;gpt4mini;P3;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P4;mistral;det;gpt4mini;P4;4.0;5.0;4.0;5.0;5.0;4.0;4.0;5.0;4.33;4.5;4.55
PRI_EXPL__P6;mistral;det;gpt4mini;P6;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P7;mistral;det;gpt4mini;P7;4.0;4.0;3.0;5.0;3.0;3.0;4.0;4.0;3.67;3.75;3.78
BAT_INST__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
BAT_INST__P3;gpt;rag_v3;gpt4mini;P3;4.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;3.67;3.75;3.78
BAT_INST__P4;gpt;rag_v3;gpt4mini;P4;4.0;4.0;4.0;5.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0
BAT_INST__P6;gpt;rag_v3;gpt4mini;P6;4.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;4.75;4.58
BAT_INST__P7;gpt;rag_v3;gpt4mini;P7;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.25;4.12
ESO1_NARR__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P3;gpt;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P3;gpt;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P4;gpt;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;3.0;3.0;4.0;4.0;4.33;3.75;3.97
ESO1_NARR__P4;gpt;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;3.0;2.0;3.0;4.0;4.33;3.25;3.72
ESO1_NARR__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;4.0;5.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P3;gpt;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P4;gpt;rag_v3;gpt4mini;P4;4.0;4.0;3.0;5.0;4.0;3.0;4.0;4.0;3.67;4.0;3.9
ESO2_ARGU__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO2_ARGU__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO2_ARGU__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
PRI_EXPL__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P1;gpt;rag_v3;gpt4mini;P1;4.0;5.0;4.0;4.0;5.0;4.0;5.0;4.0;4.33;4.5;4.35
PRI_EXPL__P3;gpt;rag_v3;gpt4mini;P3;4.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;4.0;4.5;4.25
PRI_EXPL__P3;gpt;rag_v3;gpt4mini;P3;4.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;4.0;4.5;4.25
PRI_EXPL__P4;gpt;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P4;gpt;rag_v3;gpt4mini;P4;4.0;4.0;4.0;5.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0
PRI_EXPL__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;5.0;4.0;4.0;5.0;4.33;4.5;4.55
PRI_EXPL__P6;gpt;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.33;4.75;4.67
PRI_EXPL__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P7;gpt;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
BAT_INST__P1;mistral;rag_v3;gpt4mini;P1;4.0;4.0;4.0;5.0;4.0;5.0;4.0;4.0;4.0;4.5;4.25
BAT_INST__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;5.0;4.0;4.0;4.33;4.5;4.35
BAT_INST__P4;mistral;rag_v3;gpt4mini;P4;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.25;4.12
BAT_INST__P6;mistral;rag_v3;gpt4mini;P6;4.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.25;4.12
BAT_INST__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P1;mistral;rag_v3;gpt4mini;P1;4.0;5.0;4.0;4.0;5.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P1;mistral;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P3;mistral;rag_v3;gpt4mini;P3;3.0;4.0;4.0;5.0;4.0;3.0;4.0;4.0;3.67;4.0;3.9
ESO1_NARR__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P4;mistral;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P4;mistral;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO1_NARR__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO1_NARR__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO2_ARGU__P1;mistral;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.33;4.75;4.67
ESO2_ARGU__P1;mistral;rag_v3;gpt4mini;P1;4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.33;4.75;4.67
ESO2_ARGU__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P4;mistral;rag_v3;gpt4mini;P4;4.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;4.67;4.75;4.78
ESO2_ARGU__P4;mistral;rag_v3;gpt4mini;P4;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
ESO2_ARGU__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;4.33;4.75;4.67
ESO2_ARGU__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
ESO2_ARGU__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;4.33;4.25;4.22
ESO2_ARGU__P7;mistral;rag_v3;gpt4mini;P7;4.0;4.0;4.0;5.0;4.0;3.0;5.0;4.0;4.0;4.25;4.12
PRI_EXPL__P1;mistral;rag_v3;gpt4mini;P1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P1;mistral;rag_v3;gpt4mini;P1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0
PRI_EXPL__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P3;mistral;rag_v3;gpt4mini;P3;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P4;mistral;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P4;mistral;rag_v3;gpt4mini;P4;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;4.0;5.0;5.0;4.0;4.0;5.0;4.33;4.5;4.55
PRI_EXPL__P6;mistral;rag_v3;gpt4mini;P6;4.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;4.67;4.75;4.78
PRI_EXPL__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;3.0;4.0;4.0;4.33;4.0;4.1
PRI_EXPL__P7;mistral;rag_v3;gpt4mini;P7;4.0;5.0;4.0;5.0;4.0;5.0;4.0;4.0;4.33;4.5;4.35
